Date,FuzzedDescription,UnitsSold,PricePerUnitPounds,RevenuePounds,K-Means_Cluster,DBScan,HDBScan,Spectral-Cluster
2009-12-01,12 pencils small tube red spotty,45,0.76,34.2,3,0,7,7
2009-12-01,12 pencils tall tube posy,69,1.08,74.52,9,0,-1,7
2009-12-01,12 pencils tall tube woodland,4,1.27,5.08,9,0,-1,7
2009-12-01,3 stripey mice feltcraft,9,2.54,22.86,12,1,10,2
2009-12-01,6 ribbons rustic charm,27,2.67,72.09,0,2,6,4
2009-12-01,60 teatime fairy cake cases,173,0.66,114.18,1,3,2,9
2009-12-01,72 sweetheart fairy cake cases,50,0.8,40.0,1,3,2,9
2009-12-01,antique silver tea glass etched,210,1.34,281.4,0,1,-1,10
2009-12-01,assorted colour bird ornament,1272,1.65,2098.8,7,1,-1,8
2009-12-01,bag 500g swirly marbles,2,1.67,3.34,5,0,8,5
2009-12-01,baking set 9 piece retrospot,54,5.32,287.28,6,2,5,6
2009-12-01,bathroom metal sign,13,0.55,7.15,4,4,0,0
2009-12-01,beware of the cat metal sign,38,3.0,114.0,4,4,0,0
2009-12-01,blue spotty cup,8,0.85,6.8,3,0,7,7
2009-12-01,ceramic cake bowl hanging cakes,21,8.17,171.57,7,1,12,8
2009-12-01,ceramic cake design spotted mug,8,1.49,11.92,6,2,5,6
2009-12-01,charlotte bag pinkwhite spots,235,0.9500000000000001,223.25,5,0,8,5
2009-12-01,charlotte bag suki design,43,1.13,48.59,5,0,8,5
2009-12-01,chocolate this way metal sign,15,2.1,31.5,4,4,0,0
2009-12-01,colour glass tlight holder hanging,9,2.91,26.19,7,1,12,8
2009-12-01,cook with wine metal sign,3,1.9500000000000002,5.85,4,4,0,0
2009-12-01,cream cupid hearts coat hanger,2,3.25,6.5,7,1,12,8
2009-12-01,cream heart card holder,48,5.21,250.08,2,1,11,2
2009-12-01,door mat 3 smiley cats,9,6.75,60.75,10,5,1,3
2009-12-01,door mat fairy cake,28,9.32,260.96,10,5,1,3
2009-12-01,door mat new england,9,6.75,60.75,10,5,1,3
2009-12-01,doormat hearts,9,6.75,60.75,10,5,1,3
2009-12-01,edwardian parasol black,19,8.3,157.7,11,1,9,11
2009-12-01,edwardian parasol natural,30,5.95,178.5,11,1,9,11
2009-12-01,fairy cake notebook a5 size,21,0.6900000000000001,14.49,1,3,2,9
2009-12-01,fancy font birthday card,26,0.64,16.64,11,1,-1,11
2009-12-01,feltcraft 6 flower friends,10,4.3,43.0,12,1,10,2
2009-12-01,feltcraft butterfly hearts,9,2.58,23.22,12,1,10,2
2009-12-01,feltcraft doll rosie,36,3.19,114.84,12,1,10,2
2009-12-01,four hook white lovebirds,13,2.83,36.79,7,1,-1,8
2009-12-01,gin tonic diet metal sign,16,2.65,42.4,4,4,0,0
2009-12-01,grand chocolatecandle,46,3.85,177.1,4,4,0,0
2009-12-01,grey floral feltcraft shoulder bag,20,4.65,93.0,12,1,10,2
2009-12-01,hand over the chocolate sign,24,2.54,60.96,4,4,0,0
2009-12-01,hanging heart zinc tlight holder,214,2.25,481.5,7,1,12,8
2009-12-01,heart filigree dove small,132,1.25,165.0,2,1,-1,2
2009-12-01,heart ivory trellis small,40,1.58,63.2,2,1,11,2
2009-12-01,home sweet home metal sign,16,3.98,63.68,4,4,0,0
2009-12-01,hot baths metal sign,3,3.2,9.6,4,4,0,0
2009-12-01,hot water bottle tea and sympathy,71,4.96,352.16,12,1,-1,2
2009-12-01,i can only please one person mug,3,2.7,8.1,6,2,5,6
2009-12-01,ivory hanging decoration heart,24,0.85,20.4,7,1,12,8
2009-12-01,jumbo bag baroque black white,61,1.9500000000000002,118.95,5,0,8,5
2009-12-01,jumbo bag pink vintage paisley,77,1.9500000000000002,150.15,5,0,8,5
2009-12-01,jumbo bag scandinavian paisley,47,1.9500000000000002,91.65,5,0,8,5
2009-12-01,jumbo bag strawberry,26,1.9500000000000002,50.7,5,0,8,5
2009-12-01,jumbo bag toys,109,1.87,203.83,5,0,8,5
2009-12-01,jumbo storage bag skulls,47,2.42,113.74,5,0,8,5
2009-12-01,key fob shed,10,0.65,6.5,4,4,0,0
2009-12-01,ladies gentlemen metal sign,32,2.99,95.68,4,4,0,0
2009-12-01,large heart measuring spoons,61,1.6800000000000002,102.48,2,1,11,2
2009-12-01,love building block word,86,6.3,541.8,2,1,11,8
2009-12-01,lovebird hanging decoration white,24,0.85,20.4,7,1,12,8
2009-12-01,lunch bag black skull,23,1.65,37.95,8,0,8,1
