v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
0.9,,Jan-09,Jan-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-4.5,,Jan-09,Jan-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
1.1,,Jan-09,Jan-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
3.6,,Jan-09,Jan-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
-2.8,,Jan-09,Jan-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-4.3,,Feb-09,Feb-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-5.8,,Feb-09,Feb-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
0.9,,Feb-09,Feb-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
-6.3,,Feb-09,Feb-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-5.6,,Feb-09,Feb-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
4.0,,Mar-09,Mar-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
1.6,,Mar-09,Mar-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
7.0,,Mar-09,Mar-09,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
